1|Tura Novi Sad|Novi Sad|Srbija|Tura koja prolazi pored najvecih znamenitosti u Novom Sadu|srpski|11|16-May-23 00:00:00 AM|3|Image|Ended
2|Tura Novi Sad|Novi Sad|Srbija|Tura koja prolazi pored najvecih znamenitosti u Novom Sadu|srpski|25|23-Apr-23 00:00:00 AM|3|Image|Ended
3|Tura Novi Sad|Novi Sad|Srbija|Tura koja prolazi pored najvecih znamenitosti u Novom Sadu|srpski|25|28-Dec-23 00:00:00 AM|3|Image|Ended
4|Tura Novi Sad|Novi Sad|Srbija|Tura koja prolazi pored najvecih znamenitosti u Novom Sadu|srpski|25|12-Jun-23 00:00:00 AM|3|Image|Ended
5|Tura Rume|Srbija|Ruma|lepo|sprski|15|10-May-23 00:00:00 AM|5|url|Ended
6|aa|aa|aa|aa|aa|10|17-May-23 00:00:00 AM|5|aa|Pending
7|ime|a|a|ruma|a|5|18-May-23 00:00:00 AM|10|url|Pending
8|aa|aa|aa|aa|spanski|10|18-May-23 00:00:00 AM|10|aa|Pending
9|aa|aa|aa|aa|spanski|5|19-May-23 00:00:00 AM|10|aa|Pending
10|aa|aa|aa|aa|spanski|10|19-May-23 00:00:00 AM|10|aa|Pending
11|aa|aa|aa|aa|spanski|10|25-May-23 00:00:00 AM|10|aa|Pending
12|Tura Rume|Srbija|Ruma|opis|Srpski|10|10-Jun-23 00:00:00 AM|10|url|Ended
13|aa|a|aa|a|aa|10|20-Jun-23 00:00:00 AM|10|aa|Ended
14|Tura Rume|Srbija|Ruma|opis|jezik|10|21-Jun-23 00:00:00 AM|5|C:\Users\Korisnik\Desktop\Aiesec\WhatsApp Image 2022-04-26 at 11.16.25 PM.jpeg|Pending
15|aa|aa|aa|aa|aa|10|14-Jun-23 00:00:00 AM|10||Pending
16|aa|aa|aa|aa|aa|10|15-Jun-23 00:00:00 AM|10||Pending
17|aa|a|s|a|a|10|22-Jun-23 00:00:00 AM|10||Pending
18|aa|aa|aa|a|aa|10|24-Jun-23 00:00:00 AM|10||Pending
19|aa|aa|aa|aa|aa|10|22-Jun-23 00:00:00 AM|10||Pending
